# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:(.)w_scf              17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf               22:gr.fac. D             23:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.556031971578e+04       1.556031971578e-10       1.556031971578e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       1.903443976270e+44       4.655004511898e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13       0.000000000000e+00       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       4.394017949204e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.556031971578e+04       1.566924195379e-10       1.545215463335e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       1.851067333040e+44       4.526913791294e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -8.034580822525e-48       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       6.130194392917e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.556031971578e+04       1.577892664747e-10       1.534474144324e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       1.800131926217e+44       4.402347714471e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -1.612775770564e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       1.226038878583e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.556031971578e+04       1.588937913400e-10       1.523807491881e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       1.750598097619e+44       4.281209294592e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -2.428231198423e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       1.839058317874e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.556031971578e+04       1.600060478794e-10       1.513214986972e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       1.702427280332e+44       4.163404213587e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -3.250106244508e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       2.452077757165e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.556031971578e+04       1.611260902145e-10       1.502696114173e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       1.655581968676e+44       4.048840748713e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -4.078686641485e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       3.065097196456e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.556031971578e+04       1.622539728460e-10       1.492250361642e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       1.610025689010e+44       3.937429701143e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -4.914262086701e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       3.678116635747e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.556031971578e+04       1.633897506559e-10       1.481877221094e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       1.565722971329e+44       3.829084326512e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -5.757126354815e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       4.291136075038e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.556031971578e+04       1.645334789105e-10       1.471576187779e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       1.522639321645e+44       3.723720267383e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -6.607577412409e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       4.904155514329e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.556031971578e+04       1.656852132629e-10       1.461346760456e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       1.480741195137e+44       3.621255487561e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -7.465917534632e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       5.517174953619e-07       1.592850683960e+01 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.556031971578e+04       1.668450097557e-10       1.451188441367e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       1.439995970030e+44       3.521610208226e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -8.332453423918e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       6.130194392910e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.556031971578e+04       1.680129248240e-10       1.441100736213e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       1.400371922191e+44       3.424706845811e+44       8.254349433414e-10      -8.254349433414e-10      -1.000000000000e+00       7.037478000000e-13      -9.207496330839e-47       2.476304830024e-09       2.476304830024e-09       2.476304830024e-09       6.743213832201e-07       1.303241468694e+01 
