# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.446184042732e+04       1.446184042732e-10       1.446184042732e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       2.477328854993e-08       1.903443976270e+44       4.655004511898e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00       0.000000000000e+00       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       5.264579925972e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.446184042732e+04       1.456307331031e-10       1.436131124858e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       2.477328854993e-08       1.851067333040e+44       4.526913791294e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -4.907434394477e-78       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       7.344735209629e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.446184042732e+04       1.466501482348e-10       1.426148088240e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       2.477328854993e-08       1.800131926217e+44       4.402347714471e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -9.850658624099e-78       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       1.468947041925e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.446184042732e+04       1.476766992724e-10       1.416234447110e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       2.477328854993e-08       1.750598097619e+44       4.281209294592e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -1.483137149791e-77       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       2.203420562887e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.446184042732e+04       1.487104361674e-10       1.406389719077e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       2.477328854993e-08       1.702427280332e+44       4.163404213587e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -1.985129470014e-77       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       2.937894083850e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.446184042732e+04       1.497514092205e-10       1.396613425101e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       2.477328854993e-08       1.655581968676e+44       4.048840748713e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -2.491217345477e-77       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       3.672367604812e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.446184042732e+04       1.507996690851e-10       1.386905089475e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       2.477328854993e-08       1.610025689010e+44       3.937429701143e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -3.001577720164e-77       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       4.406841125774e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.446184042732e+04       1.518552667687e-10       1.377264239796e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       2.477328854993e-08       1.565722971329e+44       3.829084326512e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -3.516390028433e-77       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       5.141314646735e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.446184042732e+04       1.529182536360e-10       1.367690406947e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       2.477328854993e-08       1.522639321645e+44       3.723720267383e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -4.035836265025e-77       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       5.875788167697e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.446184042732e+04       1.539886814115e-10       1.358183125072e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       2.477328854993e-08       1.480741195137e+44       3.621255487561e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -4.560101056307e-77       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       6.610261688659e-07       1.592850683960e+01 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.446184042732e+04       1.550666021814e-10       1.348741931551e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       2.477328854993e-08       1.439995970030e+44       3.521610208226e+44       5.041666666667e-40      -5.041666666667e-40      -1.000000000000e+00       5.500000000000e+00      -5.089371732782e-77       1.512500000000e-39       1.512500000000e-39       1.512500000000e-39       7.344735209621e-07       1.433565615564e+01 
