# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.267003736277e+04       1.267003736277e-10       1.267003736277e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       2.985121549152e-08       1.903443976270e+44       4.655004511898e+44       1.666666666667e+25       0.000000000000e+00       0.000000000000e+00       5.116662585013e-02      -1.510561390900e-03       1.309011800444e+05       1.309011800444e+05       1.309011800444e+05       1.634695595196e-19       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.267003736277e+04       1.275872762431e-10       1.258196361744e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       2.985121549152e-08       1.851067333040e+44       4.526913791294e+44       1.598350150574e+25       1.598350150574e+25       1.000000000000e+00       5.999999999678e-02      -9.861456399050e-02       1.799999999807e+05       1.799999999807e+05       1.799999999807e+05       2.280601009747e-07       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.267003736277e+04       1.284803871768e-10       1.249450210273e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       2.985121549152e-08       1.800131926217e+44       4.402347714471e+44       1.532833922304e+25       1.532833922304e+25       1.000000000000e+00       5.999999999358e-02      -9.724832231036e-02       1.799999999615e+05       1.799999999615e+05       1.799999999615e+05       4.561202019492e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.267003736277e+04       1.293797498870e-10       1.240764856279e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       2.985121549152e-08       1.750598097619e+44       4.281209294592e+44       1.470003198311e+25       1.470003198311e+25       1.000000000000e+00       5.999999999040e-02      -9.590100903443e-02       1.799999999424e+05       1.799999999424e+05       1.799999999424e+05       6.841803029236e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.267003736277e+04       1.302854081362e-10       1.232139877139e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       2.985121549152e-08       1.702427280332e+44       4.163404213587e+44       1.409747900019e+25       1.409747900019e+25       1.000000000000e+00       5.999999998725e-02      -9.457236192179e-02       1.799999999235e+05       1.799999999235e+05       1.799999999235e+05       9.122404038981e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.267003736277e+04       1.311974059932e-10       1.223574853166e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       2.985121549152e-08       1.655581968676e+44       4.048840748713e+44       1.351962460960e+25       1.351962460960e+25       1.000000000000e+00       5.999999998411e-02      -9.326212236469e-02       1.799999999047e+05       1.799999999047e+05       1.799999999047e+05       1.140300504872e-06       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.267003736277e+04       1.321157878351e-10       1.215069367593e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       2.985121549152e-08       1.610025689010e+44       3.937429701143e+44       1.296545641827e+25       1.296545641827e+25       1.000000000000e+00       5.999999998100e-02      -9.197003533823e-02       1.799999998860e+05       1.799999998860e+05       1.799999998860e+05       1.368360605847e-06       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.267003736277e+04       1.330405983500e-10       1.206623006547e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       2.985121549152e-08       1.565722971329e+44       3.829084326512e+44       1.243400353105e+25       1.243400353105e+25       1.000000000000e+00       5.999999997791e-02      -9.069584935070e-02       1.799999998675e+05       1.799999998675e+05       1.799999998675e+05       1.596420706821e-06       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.267003736277e+04       1.339718825384e-10       1.198235359034e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       2.985121549152e-08       1.522639321645e+44       3.723720267383e+44       1.192433484965e+25       1.192433484965e+25       1.000000000000e+00       5.999999997484e-02      -8.943931639467e-02       1.799999998491e+05       1.799999998491e+05       1.799999998491e+05       1.824480807796e-06       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.267003736277e+04       1.349096857162e-10       1.189906016916e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       2.985121549152e-08       1.480741195137e+44       3.621255487561e+44       1.143555744146e+25       1.143555744146e+25       1.000000000000e+00       5.999999997180e-02      -8.820019189868e-02       1.799999998308e+05       1.799999998308e+05       1.799999998308e+05       2.052540908770e-06       1.592850683960e+01 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.267003736277e+04       1.358540535162e-10       1.181634574892e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       2.985121549152e-08       1.439995970030e+44       3.521610208226e+44       1.096681497507e+25       1.096681497507e+25       1.000000000000e+00       5.999999996877e-02      -8.697823467967e-02       1.799999998126e+05       1.799999998126e+05       1.799999998126e+05       2.280601009744e-06       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.267003736277e+04       1.368050318908e-10       1.173420630478e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       2.985121549152e-08       1.400371922191e+44       3.424706845811e+44       1.051728622003e+25       1.051728622003e+25       1.000000000000e+00       5.999999996577e-02      -8.577320689599e-02       1.799999997946e+05       1.799999997946e+05       1.799999997946e+05       2.508661110718e-06       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.267003736277e+04       1.377626671140e-10       1.165263783990e+18       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       2.985121549152e-08       1.361838200436e+44       3.330469951600e+44       1.008618360805e+25       1.008618360805e+25       1.000000000000e+00       5.999999996278e-02      -8.458487400115e-02       1.799999997767e+05       1.799999997767e+05       1.799999997767e+05       2.736721211693e-06       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.267003736277e+04       1.387270057838e-10       1.157163638521e+18       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       2.985121549152e-08       1.324364802505e+44       3.238826152983e+44       9.672751853186e+24       9.672751853186e+24       1.000000000000e+00       5.999999995982e-02      -8.341300469814e-02       1.799999997589e+05       1.799999997589e+05       1.799999997589e+05       2.964781312667e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.267003736277e+04       1.396980948243e-10       1.149119799921e+18       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       2.985121549152e-08       1.287922551705e+44       3.149704096326e+44       9.276266628603e+24       9.276266628603e+24       1.000000000000e+00       5.999999995688e-02      -8.225737089445e-02       1.799999997413e+05       1.799999997413e+05       1.799999997413e+05       3.192841413641e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.267003736277e+04       1.406759814881e-10       1.141131876784e+18       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       2.985121549152e-08       1.252483074190e+44       3.063034391418e+44       8.896033297554e+24       8.896033297554e+24       1.000000000000e+00       5.999999995395e-02      -8.111774765760e-02       1.799999997237e+05       1.799999997237e+05       1.799999997237e+05       3.420901514615e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.267003736277e+04       1.416607133585e-10       1.133199480421e+18       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       2.985121549152e-08       1.218018776871e+44       2.978749557444e+44       8.531385696394e+24       8.531385696394e+24       1.000000000000e+00       5.999999995105e-02      -7.999391317146e-02       1.799999997063e+05       1.799999997063e+05       1.799999997063e+05       3.648961615589e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.267003736277e+04       1.426523383520e-10       1.125322224847e+18       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       2.985121549152e-08       1.184502825932e+44       2.896783970443e+44       8.181684967461e+24       8.181684967461e+24       1.000000000000e+00       5.999999994817e-02      -7.888564869297e-02       1.799999996890e+05       1.799999996890e+05       1.799999996890e+05       3.877021716564e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.267003736277e+04       1.436509047205e-10       1.117499726759e+18       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       2.985121549152e-08       1.151909125938e+44       2.817073812212e+44       7.846318439814e+24       7.846318439814e+24       1.000000000000e+00       5.999999994531e-02      -7.779273850965e-02       1.799999996719e+05       1.799999996719e+05       1.799999996719e+05       4.105081817538e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.267003736277e+04       1.446564610535e-10       1.109731605521e+18       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       2.985121549152e-08       1.120212299515e+44       2.739557020621e+44       7.524698555836e+24       7.524698555836e+24       1.000000000000e+00       5.999999994247e-02      -7.671496989756e-02       1.799999996548e+05       1.799999996548e+05       1.799999996548e+05       4.333141918512e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883562e-26       5.329638952389e-09       1.632229530823e+22       1.267003736277e+04       1.456690562809e-10       1.102017483139e+18       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       2.985121549152e-08       1.089387667592e+44       2.664173241290e+44       7.216261841847e+24       7.216261841847e+24       1.000000000000e+00       5.999999993965e-02      -7.565213307992e-02       1.799999996379e+05       1.799999996379e+05       1.799999996379e+05       4.561202019486e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.267003736277e+04       1.466887396749e-10       1.094356984249e+18       3.098119755926e-09       1.531452550306e+44       1.579631815005e+33       8.630904043679e+33       2.985121549152e-08       1.059411230189e+44       2.590863780597e+44       6.920467920898e+24       6.920467920898e+24       1.000000000000e+00       5.999999993684e-02      -7.460402118627e-02       1.799999996211e+05       1.799999996211e+05       1.799999996211e+05       4.789262120460e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.267003736277e+04       1.477155608526e-10       1.086749736096e+18       3.119806594217e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       2.985121549152e-08       1.030259647727e+44       2.519571559978e+44       6.636798566045e+24       6.636798566045e+24       1.000000000000e+00       5.999999993406e-02      -7.357043021222e-02       1.799999996044e+05       1.799999996044e+05       1.799999996044e+05       5.017322221434e-06       6.516207343469e+00 
